time,lat,lon,elevation,accuracy,bearing,speed
2015-02-18T08:55:10Z,22.178128,113.581765,-14.100000,12.000000,119.199997,18.359262
2015-02-18T08:55:13Z,22.177906,113.582244,-12.800000,12.000000,114.699997,18.110771
2015-02-18T08:55:16Z,22.177697,113.582697,-13.400000,18.000000,115.800003,17.365555
2015-02-18T08:55:18Z,22.177595,113.583054,-10.400000,22.000000,109.800003,17.613914
2015-02-18T08:55:21Z,22.177514,113.583581,-4.200000,23.000000,106.599998,17.862320
2015-02-18T08:55:24Z,22.177388,113.584066,-3.100000,15.000000,104.500000,18.110771
2015-02-18T08:55:26Z,22.177322,113.584414,-2.300000,13.000000,101.800003,18.359262
2015-02-18T08:55:29Z,22.177248,113.584928,-3.800000,12.000000,102.800003,17.862320
2015-02-18T08:55:32Z,22.177135,113.585447,-1.100000,11.000000,100.599998,18.359262
2015-02-18T08:55:35Z,22.177043,113.585969,-2.100000,11.000000,100.000000,18.607794
2015-02-18T08:55:38Z,22.176944,113.586472,0.900000,10.000000,100.000000,18.359262
2015-02-18T08:55:41Z,22.176863,113.587002,2.300000,10.000000,99.500000,18.856365
2015-02-18T08:55:44Z,22.176812,113.587510,3.700000,10.000000,96.800003,17.365555
2015-02-18T08:55:47Z,22.176761,113.588002,4.900000,12.000000,96.199997,17.365555
2015-02-18T08:55:49Z,22.176695,113.588341,5.200000,11.000000,100.300003,17.613914
2015-02-18T08:55:52Z,22.176627,113.588866,5.200000,12.000000,97.000000,18.359262
2015-02-18T08:55:55Z,22.176498,113.589387,6.600000,13.000000,101.599998,18.359262
2015-02-18T08:55:58Z,22.176420,113.589953,7.200000,11.000000,97.199997,18.110771
2015-02-18T08:56:01Z,22.176356,113.590477,7.200000,12.000000,96.599998,18.359262
2015-02-18T08:56:04Z,22.176248,113.591004,7.100000,12.000000,101.800003,18.250000
2015-02-18T08:56:07Z,22.176125,113.591533,7.600000,11.000000,103.800003,18.000000
2015-02-18T08:56:10Z,22.175993,113.592034,7.600000,11.000000,107.800003,18.000000
2015-02-18T08:56:13Z,22.175916,113.592571,6.900000,11.000000,99.699997,18.250000
2015-02-18T08:56:16Z,22.175825,113.593076,8.200000,12.000000,100.599998,17.750000
2015-02-18T08:56:19Z,22.175750,113.593578,10.100000XXXASD,12.000000,98.599998,18.000000
2015-02-18T08:56:21Z,22.175706,113.593940,8.900000,11.000000,98.599998,18.750000
2015-02-18T08:56:24Z,22.175659,113.594481,8.400000,11.000000,94.500000,18.250000
